time, y1obs, y2obs, y3obs, last
6.530612244897959329e+00,1.805128725225030806e+01,1.446879001480079907e+01,6.380586467882548796e+00,0.000000000000000000e+00
6.734693877551020336e+00,1.873451835840276658e+01,1.504023743969096216e+01,6.610046958816563567e+00,0.000000000000000000e+00
6.938775510204081343e+00,1.941860054728076790e+01,1.561554936394443160e+01,6.840352696329349946e+00,0.000000000000000000e+00
7.142857142857143238e+00,2.010556886081469941e+01,1.619463990052074109e+01,7.071521160247207227e+00,0.000000000000000000e+00
7.346938775510204245e+00,2.079705872870358263e+01,1.677750231601464037e+01,7.303570406723737918e+00,0.000000000000000000e+00
7.551020408163265252e+00,2.149440662785709577e+01,1.736419513045521512e+01,7.536521374204879109e+00,0.000000000000000000e+00
7.755102040816327147e+00,2.219872875945780777e+01,1.795483141891537215e+01,7.770399546443545802e+00,0.000000000000000000e+00
7.959183673469388154e+00,2.291098000999330253e+01,1.854957058560016492e+01,8.005236136001473213e+00,0.000000000000000000e+00
8.163265306122449161e+00,2.363199737524243460e+01,1.914861198532768682e+01,8.241068911816775255e+00,0.000000000000000000e+00
8.367346938775510168e+00,2.436253177692751137e+01,1.975218991165012739e+01,8.477942761199191324e+00,0.000000000000000000e+00
8.571428571428571175e+00,2.510327136955691785e+01,2.036056959868250971e+01,8.715910052602433566e+00,0.000000000000000000e+00
8.775510204081632182e+00,2.585485877924024223e+01,2.097404396457879727e+01,8.955030850677063725e+00,0.000000000000000000e+00
8.979591836734694965e+00,2.661790371222823026e+01,2.159293094245609623e+01,9.195373013838517906e+00,0.000000000000000000e+00
9.183673469387755972e+00,2.739299243754336999e+01,2.221757121989450567e+01,9.437012208899998811e+00,0.000000000000000000e+00
9.387755102040816979e+00,2.818069487073175949e+01,2.284832631794982660e+01,9.680031861304021490e+00,0.000000000000000000e+00
9.591836734693877986e+00,2.898156992071530169e+01,2.348557692719185042e+01,9.924523055122863369e+00,0.000000000000000000e+00
9.795918367346938993e+00,2.979616953038607363e+01,2.412972144489970816e+01,1.017058439077155541e+01,0.000000000000000000e+00
1.000000000000000000e+01,3.062504173262790275e+01,2.478117468243082655e+01,1.041832181907300203e+01,1.000000000000000000e+00
